rel_ms,tgt,rpm
0,30,0
50,30,0
100,30,1
150,30,1
200,30,0
250,30,0
300,30,0
350,30,0
400,30,0
450,30,0
500,30,0
550,30,0
600,30,0
650,30,0
700,30,0
750,30,0
800,30,0
850,30,0
900,30,0
950,30,0
1000,30,0
1050,30,0
1100,30,0
1150,30,0
1200,30,0
1250,30,0
1300,30,0
1350,30,0
1400,30,0
1450,30,0
1500,30,0
1550,30,0
1600,30,0
1650,30,0
1700,30,1
1750,30,0
1800,30,0
1850,30,0
1900,30,0
1950,30,0
2000,30,0
2050,30,0
2100,30,0
2150,30,0
2200,30,0
2250,30,0
2300,30,0
2350,30,0
2400,30,0
2450,30,0
2500,30,0
2550,30,0
2600,30,0
2650,30,0
2700,30,0
2750,30,0
2800,30,0
2850,30,0
2900,30,0
2950,30,0
3000,30,0
3050,30,0
3100,30,0
