rel_ms,tgt,rpm
0,30,0
51,30,0
101,30,7
151,30,17
201,30,20
251,30,21
301,30,23
351,30,22
401,30,22
451,30,23
501,30,22
551,30,23
601,30,22
651,30,23
701,30,22
751,30,24
801,30,21
851,30,24
901,30,23
951,30,23
1001,30,22
1051,30,24
1101,30,23
1151,30,24
1201,30,23
1251,30,24
1301,30,24
1351,30,23
1401,30,24
1451,30,24
1501,30,24
1551,30,25
1601,30,24
1651,30,25
1701,30,23
1751,30,25
1801,30,24
1851,30,25
1901,30,24
1951,30,25
2001,30,24
2051,30,24
2101,30,25
2151,30,24
2201,30,24
2251,30,25
2301,30,24
2351,30,24
2401,30,24
2451,30,25
2501,30,24
2551,30,25
2601,30,23
2651,30,25
2701,30,25
2751,30,25
2801,30,24
2851,30,25
2901,30,25
2951,30,25
3001,30,25
3051,30,25
3101,30,25
3151,30,25
