rel_ms,tgt,rpm
0,30,0
50,30,0
100,30,12
150,30,29
200,30,29
250,30,26
300,30,25
350,30,24
400,30,26
450,30,25
500,30,25
550,30,26
600,30,25
650,30,25
700,30,25
750,30,26
800,30,26
850,30,26
900,30,26
950,30,26
1000,30,26
1050,30,26
1100,30,25
1150,30,27
1200,30,26
1250,30,26
1300,30,26
1350,30,25
1400,30,27
1450,30,26
1500,30,26
1550,30,28
1600,30,26
1650,30,26
1700,30,27
1750,30,27
1800,30,26
1850,30,27
1900,30,26
1950,30,27
2000,30,27
2050,30,27
2100,30,27
2150,30,27
2200,30,27
2250,30,28
2300,30,26
2350,30,28
2400,30,27
2450,30,26
2500,30,28
2550,30,28
2600,30,27
2650,30,27
2700,30,27
2750,30,27
2800,30,28
2850,30,28
2900,30,27
2950,30,29
3000,30,26
3050,30,28
