t_ms,rate_0E3,rpm_x10
95,600,598
145,600,1318
195,600,1653
245,600,1793
295,600,1866
345,600,1915
395,600,1932
445,600,1940
495,600,1948
545,600,1948
595,600,1956
645,600,1956
695,600,1948
745,600,1965
795,600,1956
845,600,1956
895,600,1948
945,600,1965
995,600,1956
1045,600,1956
1095,600,1973
1145,600,1956
1195,600,1965
1245,600,1965
1295,600,1965
1345,600,1965
1395,600,1956
1445,600,1965
1495,600,1973
1545,600,1956
1595,600,1965
1645,600,1965
1695,600,1956
1745,600,1973
1795,600,1956
1845,600,1965
1895,600,1973
1945,600,1956
1995,600,1965
2045,600,1965
2095,600,1965
2145,600,1973
2195,600,1965
2245,600,1965
2295,600,1956
2345,600,1965
2395,600,1965
2445,600,1956
2495,600,1965
2545,600,1956
2595,600,1956
2645,600,1973
2695,600,1956
2745,600,1965
2795,600,1973
2845,600,1956
2895,600,1973
2945,600,1965
2995,600,1965
3045,600,1973
3095,600,1965
3145,600,1965
3195,600,1973
3245,600,1965
3295,600,1973
3345,600,1973
3395,600,1965
3445,600,1973
3495,600,1965
3545,600,1973
3595,600,1965
3645,600,1973
3695,600,1973
3745,600,1965
3795,600,1973
3845,600,1973
3895,600,1965
3945,600,1973
3995,600,1973
4045,600,1965
4095,600,1973
4145,600,1973
4195,600,1965
4245,600,1973
4295,600,1973
4345,600,1965
4395,600,1981
4445,600,1965
4495,600,1973
4545,600,1973
4595,600,1965
4645,600,1973
4695,600,1973
4745,600,1965
4795,600,1973
4845,600,1965
4895,600,1973
4945,600,1973
4995,600,1965
