tick,gx10,gy10,gz10,roll10,pitch10,yaw10,stable,driftz100
540904,-30,19,-16,-86,9,285,1,-8
541104,-30,17,-16,-86,9,285,1,-7
541304,-30,18,-16,-86,9,285,1,-7
541504,-30,19,-16,-86,9,285,1,-6
541704,-30,18,-16,-86,9,285,1,-6
541904,-31,18,-16,-86,9,285,1,-5
542104,-31,18,-16,-86,9,285,1,-4
542304,-30,19,-16,-86,9,285,1,-4
542504,-31,19,-16,-85,9,285,1,-3
542704,-30,18,-16,-85,9,285,1,-3
542904,-30,18,-16,-85,9,285,1,-3
543104,-30,20,-17,-85,9,285,1,-3
543304,-30,18,-16,-85,9,286,1,-3
543504,-30,17,-17,-85,9,286,1,-3
543704,-30,19,-16,-85,9,286,1,-3
543904,-30,18,-16,-85,9,286,1,-2
544104,-31,18,-16,-85,9,286,1,-2
544304,-30,18,-16,-85,9,286,1,-2
544504,-31,18,-16,-85,9,286,1,-2
544704,-31,18,-16,-85,9,286,1,-2
544904,-30,19,-16,-85,9,286,1,-2
545104,-30,19,-16,-85,9,286,1,-2
545304,-30,18,-16,-84,9,286,1,-2
545504,-30,19,-16,-84,9,286,1,-2
545704,-30,19,-16,-84,9,286,1,-1
545904,-30,17,-16,-84,9,286,1,-1
546104,-30,18,-16,-84,9,286,1,-1
546304,-30,19,-16,-84,9,286,1,-1
546504,-30,19,-16,-84,9,286,1,-1
546704,-30,18,-16,-84,9,286,1,-1
546904,-30,19,-16,-84,9,286,1,-1
547104,-30,19,-16,-84,9,286,1,-1
547304,-31,18,-16,-84,9,286,1,-1
547504,-30,18,-16,-84,9,286,1,-1
547704,-30,19,-16,-84,9,286,1,-1
547904,-30,19,-16,-84,9,286,1,-1
548104,-31,17,-16,-83,9,286,1,-1
548304,-30,18,-16,-83,9,286,1,-1
548504,-31,17,-16,-83,9,286,1,0
548704,-30,19,-17,-83,9,286,1,-1
548904,-30,17,-16,-83,9,286,1,-1
549104,-30,20,-16,-83,9,286,1,-1
549304,-30,18,-16,-83,9,286,1,-1
549504,-29,18,-16,-83,9,286,1,-1
549704,-30,19,-16,-83,9,286,1,0
549904,-30,14,-16,-82,9,286,1,0
550104,-31,18,-16,-83,9,286,1,0
550304,-30,21,-16,-82,9,286,1,0
550504,-26,6,-16,-82,7,286,1,0
550704,-28,21,-16,-82,8,286,1,0
550904,-31,17,-17,-82,7,286,1,0
551104,-31,17,-16,-82,8,286,1,0
551304,-31,15,-16,-82,8,286,1,0
551504,-31,19,-16,-82,8,286,1,0
551704,-30,20,-16,-82,8,286,1,0
551904,-30,17,-16,-82,8,286,1,0
552104,-30,18,-16,-82,9,286,1,0
552304,-30,19,-16,-82,9,286,1,0
552504,-30,19,-16,-82,9,286,1,0
552704,-30,20,-16,-82,9,286,1,0
552904,-30,17,-16,-82,9,286,1,0
553104,-30,18,-16,-82,9,286,1,0
553304,-31,18,-16,-81,9,286,1,0
553504,-30,19,-16,-81,9,286,1,0
553704,-30,18,-16,-81,9,286,1,0
553904,-30,18,-16,-81,9,286,1,0
554104,-30,18,-16,-81,9,286,1,0
554304,-30,19,-16,-81,9,286,1,0
554504,-30,19,-16,-81,9,286,1,0
554704,-30,22,-16,-81,9,286,1,0
554904,-30,20,-16,-81,9,286,1,0
555104,-31,16,-16,-81,9,286,1,0
555304,-31,18,-16,-81,9,286,1,0
555504,-30,19,-16,-81,9,286,1,0
555704,-30,19,-16,-81,9,286,1,0
555904,-31,16,-16,-81,9,286,1,0
556104,-30,19,-16,-80,9,286,1,0
556304,-30,18,-16,-80,9,286,1,0
556504,-30,17,-16,-80,9,286,1,0
556704,-30,19,-16,-80,9,286,1,0
556904,-30,19,-16,-80,9,286,1,0
557104,-30,18,-16,-80,9,286,1,0
557304,-31,18,-16,-80,9,286,1,0
557504,-30,19,-16,-80,9,286,1,0
557704,-30,18,-16,-80,9,286,1,0
557904,-30,18,-16,-80,9,286,1,0
558104,-30,18,-16,-80,9,286,1,0
558304,-31,19,-16,-80,9,286,1,0
558504,-30,17,-16,-80,9,286,1,0
558704,-30,17,-16,-79,9,286,1,0
558904,-29,19,-16,-79,9,286,1,0
559104,-31,19,-16,-79,9,286,1,0
559304,-30,16,-16,-79,9,286,1,0
559504,-30,19,-16,-79,9,286,1,0
559704,-30,19,-16,-79,9,286,1,0
559904,-30,21,-16,-79,9,286,1,0
560104,-30,19,-17,-79,8,286,1,0
560304,-31,16,-16,-79,8,286,1,0
560504,-29,22,-16,-79,9,286,1,0
560704,-29,26,-16,-79,9,286,1,0
560904,-30,17,-16,-79,9,286,1,0
561104,-31,13,-16,-79,9,286,1,0
561304,-31,17,-16,-79,9,286,1,0
561504,-29,22,-16,-79,9,286,1,0
561704,-31,18,-16,-79,9,286,1,0
561904,-30,17,-16,-78,9,286,1,0
562104,-31,19,-16,-78,9,286,1,0
562304,-30,19,-16,-78,9,286,1,0
562504,-30,18,-16,-78,9,286,1,0
562704,-30,18,-16,-78,9,286,1,0
562904,-31,19,-16,-78,9,286,1,0
563104,-30,19,-16,-78,9,286,1,0
563304,-30,17,-16,-78,9,286,1,0
563504,-31,18,-17,-78,9,286,1,0
563704,-30,19,-16,-78,9,286,1,0
563904,-30,18,-16,-78,9,286,1,0
564104,-31,18,-16,-78,9,286,1,0
564304,-30,19,-16,-78,9,286,1,0
564504,-30,19,-16,-78,9,286,1,0
564704,-30,19,-16,-78,9,286,1,0
564904,-30,19,-16,-78,9,286,1,0
565104,-30,18,-16,-77,9,286,1,0
565304,-30,19,-16,-77,9,286,1,0
565504,-30,18,-16,-77,9,286,1,0
565704,-30,19,-16,-77,9,286,1,0
565904,-30,19,-16,-77,9,286,1,0
566104,-30,18,-16,-77,9,286,1,0
566304,-31,18,-16,-77,9,286,1,0
566504,-30,19,-16,-77,9,286,1,0
566704,-31,19,-16,-77,9,286,1,0
566904,-31,18,-16,-77,9,286,1,0
567104,-30,19,-16,-77,9,286,1,0
567304,-30,18,-16,-77,9,286,1,0
567504,-30,18,-16,-77,9,286,1,0
567704,-30,18,-16,-77,9,286,1,0
567904,-30,19,-16,-76,9,286,1,0
568104,-31,18,-16,-76,9,286,1,0
568304,-30,18,-16,-76,9,286,1,0
568504,-30,19,-16,-76,9,286,1,0
568704,-30,18,-16,-76,9,286,1,0
568904,-31,18,-16,-76,9,286,1,0
569104,-31,19,-17,-76,9,286,1,0
569304,-30,19,-16,-76,9,286,1,0
569504,-31,18,-16,-76,9,286,1,0
569704,-30,18,-16,-76,9,286,1,0
569904,-30,19,-16,-76,9,286,1,0
570104,-30,18,-17,-76,9,286,1,0
570304,-31,18,-17,-76,9,286,1,0
570504,-30,19,-16,-76,9,286,1,0
570704,-30,19,-16,-76,9,286,1,0
570904,-30,18,-16,-76,9,286,1,0
571104,-30,18,-16,-75,9,286,1,0
571304,-31,18,-16,-75,9,286,1,0
571504,-30,20,-16,-75,9,286,1,0
571704,-30,17,-16,-75,9,286,1,0
571904,-30,18,-16,-75,9,286,1,0
572104,-31,19,-16,-75,9,286,1,0
