t_ms,rate_0E3,rpm_x10
71,300,180
121,300,475
171,300,598
221,300,679
271,300,704
321,300,712
371,300,729
421,300,745
471,300,729
521,300,753
571,300,745
621,300,745
671,300,753
721,300,745
771,300,745
821,300,761
871,300,745
921,300,753
971,300,753
1021,300,753
1071,300,753
1121,300,753
1171,300,761
1221,300,753
1271,300,761
1321,300,753
1371,300,753
1421,300,761
1471,300,753
1521,300,745
1571,300,753
1621,300,745
1671,300,761
1721,300,745
1771,300,745
1821,300,737
1871,300,729
1921,300,729
1971,300,720
2021,300,876
