t_ms,rate_0E3,rpm_x10
134,300,614
234,300,835
334,300,884
434,300,909
534,300,909
634,300,917
734,300,917
834,300,925
934,300,925
1034,300,925
1134,300,925
1234,300,925
1334,300,925
1434,300,925
1534,300,925
1634,300,925
1734,300,925
1834,300,925
1934,300,917
2034,300,933
2134,300,925
2234,300,925
2334,300,925
2434,300,925
2534,300,925
2634,300,933
2734,300,925
2834,300,925
2934,300,925
3034,300,933
3134,300,933
3234,300,925
3334,300,925
3434,300,933
3534,300,933
3634,300,933
3734,300,925
3834,300,925
3934,300,933
4034,300,933
4134,300,941
4234,300,933
4334,300,933
4434,300,933
4534,300,925
4634,300,933
4734,300,925
4834,300,933
4934,300,933
5034,300,1121
